seed,ga_best_fitness_train_acc,fs_seconds,n_features_selected,selected_features_1based,base_accuracy,base_sensitivity,base_specificity,fs_accuracy,fs_sensitivity,fs_specificity
1074497555,0.9912087912087912,76.34115314483643,18,1 3 4 5 9 11 12 13 16 17 18 19 20 22 23 25 26 27,0.9824561403508771,0.9761904761904762,0.9861111111111112,0.9736842105263158,0.9523809523809523,0.9861111111111112
796282693,0.9956043956043956,69.97916841506958,16,6 8 11 12 13 14 15 16 18 19 20 22 24 27 28 29,0.9473684210526315,0.9285714285714286,0.9583333333333334,0.9736842105263158,0.9285714285714286,1.0
392022359,0.9956043956043956,92.36429071426392,19,3 5 6 7 8 9 10 12 13 14 15 19 20 22 23 24 27 28 29,0.9649122807017544,0.9523809523809523,0.9722222222222222,0.9824561403508771,0.9523809523809523,1.0
1990212658,0.9956043956043956,78.9450478553772,18,4 5 7 8 10 12 13 14 16 18 19 20 21 22 23 26 27 30,0.9649122807017544,0.9047619047619048,1.0,0.9649122807017544,0.9761904761904762,0.9583333333333334
1678403330,0.9912087912087912,82.17761421203613,20,4 6 7 8 9 11 13 15 16 18 19 20 21 22 23 26 27 28 29 30,0.9736842105263158,0.9285714285714286,1.0,0.9649122807017544,0.9047619047619048,1.0
1382689815,0.9912087912087912,69.3034143447876,17,2 3 6 7 9 10 11 12 13 15 18 20 22 23 27 28 30,0.9736842105263158,1.0,0.9583333333333334,0.9824561403508771,0.9761904761904762,0.9861111111111112
864178266,0.9912087912087912,110.75102472305298,15,1 2 5 6 7 8 11 15 18 19 20 24 28 29 30,0.9824561403508771,0.9523809523809523,1.0,0.9824561403508771,0.9523809523809523,1.0
1766867109,0.9956043956043956,84.30080246925354,18,1 3 4 6 7 8 10 11 12 14 15 18 19 20 22 25 26 29,0.9385964912280702,0.9285714285714286,0.9444444444444444,0.9298245614035088,0.9285714285714286,0.9305555555555556
1171300112,0.9934065934065934,70.69323754310608,20,4 5 6 7 8 10 11 12 13 14 16 18 19 20 22 25 27 28 29 30,0.9649122807017544,0.9285714285714286,0.9861111111111112,0.9473684210526315,0.9047619047619048,0.9722222222222222
952224740,0.9912087912087912,160.75971937179565,15,1 2 4 7 8 11 14 16 21 23 24 25 27 28 29,0.9824561403508771,0.9523809523809523,1.0,0.9824561403508771,0.9523809523809523,1.0
